CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,UTILIZATION_RATIO,PAYMENT_TO_BALANCE,SPEND_VELOCITY,INSTALLMENT_FREQUENCY,CASH_ADVANCE_RATIO,PURCHASE_TYPE_RATIO,CLUSTER_ID,SEGMENT_NAME,PC1,PC2,BALANCE_OUTLIER,PURCHASE_OUTLIER,CASH_OUTLIER,CLASSIC_OUTLIER_FLAG,ANOMALY_SCORE,ANOMALY_FLAG,FRAUD_RISK_SCORE
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,2172.697765,0.0,12.0,1.0,0.8370915159374732,0.7667666666666667,0.9989143651207226,0.0,0.0,3,Transactors,-0.7845171811589973,0.5911838429753667,False,False,False,0,0.12424124923421592,0,25.3
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,12.0,0.315397372,1.116847890396505,0.74609,0.0,0.0,0.9993302883778246,3,Transactors,-1.3486881517962528,0.9824784479237384,False,False,False,0,0.17678704868712763,0,11.98
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.207013,0.25,12.0,0.5056428733333334,0.4007195601859065,1.0,0.2229767722173725,0.0,0.776712571334487,3,Transactors,-0.9472984624839018,1.8672638008935012,False,True,False,1,0.12046795249806769,0,26.26
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.137986,0.083333,12.0,0.1228924491999999,1.794628086245627,0.2850573333333333,0.8031913152838102,0.0,0.196341161234823,1,Dormant/Low Engagement,-0.70108882975604,1.1490604529464097,False,False,False,0,0.17456332362164195,0,12.55
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.647974,989.962866,0.0,12.0,0.924257578,0.2904520489817461,0.0,0.0,0.9971248785153356,0.0,2,Revolvers,1.04686836169723,-1.737498359330927,False,False,False,0,0.19406037797930997,0,7.6
C10016,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4.0,11.0,8000.0,1993.439277,2109.90649,0.0,12.0,0.860776653875,0.2894406213571754,0.2014625,0.9993799218701556,0.587986408943158,0.0,0,Cash Advance Users,2.5156427999759345,0.0962829691851805,True,False,False,1,0.06938023748508604,0,39.21
C10017,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3.0,0.0,3000.0,391.974562,376.579631,0.0,8.0,0.6906914513333333,0.1890788727590424,0.0,0.0,0.9996409689863184,0.0,2,Revolvers,1.1680343627800291,-1.758505894558836,False,False,False,0,0.19425508735707575,0,7.56
C10018,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0.0,8.0,2500.0,254.590662,73.203221,0.25,12.0,0.0164357956,6.048794320121112,0.2076,0.9980769230769232,0.0,0.0,1,Dormant/Low Engagement,-1.7092625650423257,0.0712003978931269,False,False,False,0,0.21881693083707093,0,1.33
C10019,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0.0,9.0,13000.0,1720.837373,744.613395,0.0,12.0,0.153005556,0.8647110133934295,0.0387961538461538,0.6695359651726527,0.0,0.3284852082714949,1,Dormant/Low Engagement,0.1514232387764378,0.710597177485658,False,False,False,0,0.13231563688297554,0,23.26
C10020,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,1053.980464,12465.54938,0.0,12.0,0.89449273325,0.2944926024075088,0.09966,0.9974977479731758,0.0,0.0,2,Revolvers,0.2228838644883976,-0.3411929181603856,False,False,False,0,0.14951434002933395,0,18.9
C10021,2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,2000.0,223.0686,13557.29726,0.0,12.0,1.0,0.1105567195646545,0.08834,0.9943719045475012,0.0,0.0,2,Revolvers,-0.3490912782311618,-0.7797291061151238,False,False,False,0,0.14387828241934114,0,20.33
C10022,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6.0,92.0,11250.0,2077.959051,1659.775075,0.0,12.0,0.5661805616000001,0.3261830053528982,0.5653288888888889,0.0707300010218599,0.0347540214072436,0.9291127897562472,3,Transactors,1.690709871170904,2.840613509932717,True,True,False,1,0.042902908976445886,0,45.92
C10023,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0.0,17.0,1800.0,2359.629958,86.329554,0.0,12.0,0.0735234666666666,17.69604258935503,0.4532777777777778,0.9987758599583793,0.0,0.0,1,Dormant/Low Engagement,-1.5551343236785902,0.7749631323656014,False,False,False,0,0.18024176374477385,0,11.11
C10024,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13.0,13.0,9000.0,9479.043842,1425.426525,0.0,12.0,0.4222390418888889,2.493729636592686,0.4720388888888889,0.1868026874698483,0.6523698073070368,0.8129619824208407,0,Cash Advance Users,3.800948367794284,2.2545596140868267,False,True,True,1,-0.009144137037194966,1,59.12
C10025,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4.0,0.0,6000.0,1422.726707,1657.002877,0.0,11.0,0.8947618698333334,0.2649609529278133,0.0,0.0,0.9987499216560276,0.0,2,Revolvers,2.1037665484671906,-1.371737392644306,True,False,False,1,0.1653427863174599,0,14.88
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0.0,12.0,3000.0,215.306142,163.005536,0.0,12.0,0.056593893,1.260709832932372,0.1332,0.9975037443834248,0.0,0.0,1,Dormant/Low Engagement,-1.5703543237556532,-0.0731636962780776,False,False,False,0,0.21737470642675377,0,1.69
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5.0,2.0,1700.0,890.178845,971.183209,0.0,12.0,0.9505689647058824,0.550523735409754,0.06,0.0,0.7038872574019094,0.9902912621359224,2,Revolvers,0.3796122364690816,-1.4788732439275687,False,False,False,0,0.16777709788323691,0,14.27
C10028,125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,207.773715,164.748819,0.0,12.0,0.125694817,1.639954340042182,0.23328,0.9957316032098344,0.0,0.0,1,Dormant/Low Engagement,-1.7587469413851469,-0.1447546707992498,False,False,False,0,0.20438782425812912,0,4.99
C10029,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16.0,8.0,10500.0,1601.448347,1648.851345,0.0,12.0,0.6812251782857143,0.2238578010044499,0.0368619047619047,0.4703002190439376,0.8521260951641708,0.5271227934544518,0,Cash Advance Users,2.908976155802024,-0.5529346755112882,True,False,False,1,0.09721172840396042,0,32.16
C10030,22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0.0,5.0,6900.0,160.767773,159.684442,0.0,12.0,0.0031976072463768,6.970661118503747,0.0144927536231884,0.99009900990099,0.0,0.0,1,Dormant/Low Engagement,-1.2623888703782835,-0.037435733012685,False,False,False,0,0.19788558058585098,0,6.64
C10031,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10.0,64.0,13000.0,4230.323491,3292.01503,0.0,12.0,0.9335553815384616,0.3485413879736592,0.2336930769230769,0.6662728980819411,0.5116168046027342,0.333398047390433,0,Cash Advance Users,4.821868636172272,1.2943029316453998,True,True,True,1,-0.01957890153734898,1,61.76
C10032,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2.0,45.0,6000.0,645.998299,256.848991,0.0,12.0,0.1937122206666666,0.555328043437537,0.2246183333333333,0.7026788560921177,0.1153248834421954,0.2965796946712043,1,Dormant/Low Engagement,-0.6920482722724113,0.426862064282404,False,False,False,0,0.17189601035285823,0,13.22
C10033,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3.0,3.0,10500.0,1720.118876,2506.745366,0.0,12.0,0.6412212441904762,0.2554446203369979,0.030947619047619,0.0,0.784920162057323,0.996932044792146,0,Cash Advance Users,2.5594525165720894,-0.5092901986138618,True,False,False,1,0.12120893549425965,0,26.07
C10034,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0.0,11.0,1200.0,423.449696,196.301885,0.3,12.0,0.1047170441666666,3.3431879167525165,0.5306583333333333,0.0,0.0,0.9984320857962652,1,Dormant/Low Engagement,-1.7091810198882638,0.4033619931269025,False,False,False,0,0.1929483048262975,0,7.89
C10035,3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0.0,14.0,11000.0,8735.607835,17862.55831,0.0,12.0,0.3197365105454545,2.483045911826784,0.0497527272727272,0.9981761143941053,0.0,0.0,1,Dormant/Low Engagement,1.2676471919431889,1.55651582648163,False,False,False,0,0.07368765963440682,0,38.12
C10036,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1.0,0.0,1800.0,351.500199,634.569311,0.0,12.0,0.9201948783333334,0.2120855783999537,0.0,0.0,0.990026366994368,0.0,2,Revolvers,0.5457028524010983,-1.898074938613737,False,False,False,0,0.19423871719656083,0,7.56
C10037,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11.0,0.0,9000.0,1636.361601,1986.843608,0.0,11.0,0.8252307712222222,0.220294110305716,0.0,0.0,0.9998873160087536,0.0,0,Cash Advance Users,4.6632096250496025,-1.296069773142977,True,False,True,1,0.08722872675773896,0,34.69
C10038,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7.0,41.0,5000.0,1617.894416,1541.141605,0.0,12.0,0.8094961656,0.3996300056086124,0.47611,0.3100417795133421,0.4161738488646973,0.689538325880204,2,Revolvers,1.1832106373157942,0.5430758933109515,False,False,False,0,0.08856503393525883,0,34.35
C10039,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12.0,2.0,9000.0,1237.111661,2049.408839,0.0,12.0,0.696602016,0.1972933275883299,0.0226666666666666,0.0,0.9345194336613798,0.9951219512195122,0,Cash Advance Users,2.8205478548744414,-0.9623690077169534,True,False,True,1,0.13417860520432517,0,22.79
C10040,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6.0,6.0,7500.0,20071.07544,719.948985,0.333333,12.0,0.1882136306666666,14.208582581665611,0.128432,0.0,0.8649130823328172,0.9989629137973948,0,Cash Advance Users,3.9211297452185847,2.1227208181310564,False,False,True,1,-0.0073001021162596436,1,58.65
C10041,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3.0,0.0,1800.0,3067.05783,283.333445,0.166667,12.0,0.3685821166666667,4.615949941952552,0.0,0.0,0.9996809254625756,0.0,2,Revolvers,0.8180716629262774,-1.326136252870778,False,False,True,1,0.161958961525621,0,15.74
C10043,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11.0,27.0,3000.0,1262.309666,363.142736,0.111111,12.0,0.2616299206666667,1.606217216505742,0.5088633333333333,0.4846130178909262,0.5889165633150097,0.5147323561950523,2,Revolvers,-0.1564544625385543,0.2643819707177802,False,False,False,0,0.12077144860906674,0,26.18
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,4500.0,868.275275,1801.264841,0.0,12.0,0.9121579551111112,0.211479891721297,0.0452933333333333,0.0,0.0,0.9951176642905968,2,Revolvers,0.5540467002848402,-0.5830614820204033,False,False,False,0,0.158481732658319,0,16.62
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1.0,0.0,1500.0,378.294227,321.354137,0.0,12.0,0.9071615846666669,0.2778016116627029,0.0,0.0,0.9993255033685904,0.0,2,Revolvers,0.7571270488901203,-1.967855355473324,False,False,False,0,0.19289167745574048,0,7.9
C10046,5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0.0,20.0,8500.0,1430.341501,1318.71492,0.0,12.0,0.625405364,0.2690156360851414,0.1794635294117647,0.6915699274128037,0.0,0.3077749534865438,1,Dormant/Low Engagement,0.9243521359382968,0.6419589736451439,True,False,False,1,0.141960806433024,0,20.81
C10047,2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2.0,5.0,2400.0,0.0,312.343947,0.0,12.0,0.9342965358333334,0.0,0.1820833333333333,0.776255707762557,0.296553569247681,0.2214611872146118,2,Revolvers,-0.0445589568204046,-0.7992253392889755,False,False,False,0,0.1385686283816311,0,21.67
C10048,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1.0,3.0,1700.0,176.013005,147.199792,0.0,8.0,0.2790865582352941,0.3702051960353641,0.0645529411764705,0.9909698392631388,0.9015118782260064,0.0,2,Revolvers,-0.3921757140574962,-1.2977561472908852,False,False,False,0,0.14392085162660245,0,20.32
C10049,3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7.0,0.0,4200.0,0.0,312.343947,0.0,12.0,0.930978865952381,0.0,0.0,0.0,0.9994954268519826,0.0,2,Revolvers,1.7152682085637516,-1.797102885715252,False,False,False,0,0.16173970242962066,0,15.8
C10050,229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0.0,87.0,3300.0,2543.953559,175.657825,0.916667,12.0,0.0696567209090909,11.019121773909664,0.7244242424242424,0.4129745776885767,0.0,0.5866072921893294,3,Transactors,-1.3381682472814778,1.7278935459512457,False,False,False,0,0.1615577259824284,0,15.84
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2.0,3.0,4000.0,587.866451,286.448719,0.083333,12.0,0.21595245825,0.6797638377453554,0.126875,0.0,0.5775164504189396,0.9980334316617504,2,Revolvers,-0.3106643500879698,-0.63280581557414,False,False,False,0,0.17908511046209263,0,11.4
C10052,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37.0,9.0,12000.0,8113.297346,1012.415961,0.0,8.0,0.4109443214166667,1.644921222096107,0.0751183333333333,0.2829613705370005,0.9043344178944398,0.7159304979942821,0,Cash Advance Users,4.528178808116008,0.5261623241995002,False,False,True,1,0.014491446386132312,0,53.13
C10053,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0.0,18.0,2500.0,1399.82834,1322.446601,0.0,12.0,0.4315554259999999,1.2962711018242887,1.0,0.2850282258713029,0.0,0.7146501117776669,3,Transactors,-1.0881065653468238,1.952079531185055,False,True,False,1,0.1307509469366266,0,23.65
C10054,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3.0,0.0,3500.0,691.825279,581.481917,0.0,12.0,0.4473374568571428,0.441586535665482,0.0,0.0,0.996897869824598,0.0,2,Revolvers,0.3487959791842596,-1.4690841050198689,False,False,False,0,0.2013608966034786,0,5.75
C10055,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1.0,11.0,3000.0,3110.052742,132.446091,0.2,9.0,0.1548913853333333,6.678602842628012,0.65974,0.0,0.5001319584533641,0.9994950056054378,3,Transactors,-0.214547780810895,0.9825529475547298,False,False,False,0,0.09636148268870054,0,32.37
C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,1000.0,417.016763,312.343947,0.0,12.0,0.0066605169999999,54.43715652611959,0.31,0.9967845659163987,0.0,0.0,1,Dormant/Low Engagement,-1.910336541177593,0.1067196039029814,False,False,False,0,0.17793964963984937,0,11.69
C10057,1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,6000.0,0.0,312.343947,0.0,12.0,0.2186659973333333,0.0,0.2139833333333333,0.0,0.0,0.9992217293174566,1,Dormant/Low Engagement,-0.7431954407544967,0.3159419100756794,False,False,False,0,0.17946297495098135,0,11.31
C10058,3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5.0,4.0,4000.0,0.0,312.343947,0.0,12.0,0.9063045365,0.0,0.0783175,0.0,0.6802100230213474,0.9968180227193176,2,Revolvers,1.0120345727610776,-1.272392769234764,False,False,False,0,0.1473882477239008,0,19.44
C10059,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0.0,42.0,7500.0,5678.729613,1311.514878,0.083333,12.0,0.3181774172,2.378694238668858,0.6956826666666667,0.0821155784479421,0.0,0.9176928000122638,3,Transactors,0.3735857217754617,3.07316491801726,False,True,False,1,0.09819495560115477,0,31.91
C10060,3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3.0,0.0,4000.0,764.938728,1600.212243,0.0,11.0,0.99278469125,0.1925760335313965,0.0,0.0,0.9955668947884978,0.0,2,Revolvers,1.458662410030755,-1.6776191682019232,False,False,False,0,0.16699013199248758,0,14.47
C10061,5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4.0,6.0,6000.0,2110.557023,1895.02617,0.0,12.0,0.9156506766666668,0.3840935164571372,0.0381666666666666,0.9956521739130436,0.8084277356751731,0.0,2,Revolvers,1.955299144402728,-0.8893726344452367,True,False,False,1,0.0938627945309437,0,33.01
C10062,1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,6500.0,3509.686561,548.105836,0.0,12.0,0.2890944666153846,1.866741324939624,0.0173846153846153,0.0,0.0,0.9912280701754386,1,Dormant/Low Engagement,-0.0473442885479463,0.1794631763067427,False,False,False,0,0.16923902676612362,0,13.9
C10063,1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1600.0,338.083661,837.215674,0.0,12.0,0.972371063125,0.2171666424284947,0.041375,0.0,0.0,0.9851190476190476,2,Revolvers,-0.3461593445612857,-1.005268454516472,False,False,False,0,0.170241408027187,0,13.64
C10064,809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7.0,0.0,4150.0,4372.148648,241.645387,0.090909,11.0,0.1950802356626506,5.39383229930101,0.0,0.0,0.9997382659704808,0.0,2,Revolvers,1.220897046865009,-0.8852318815436361,False,False,True,1,0.1388591611457924,0,21.6
C10065,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1600.0,0.0,312.343947,0.0,12.0,0.0044702225,0.0,0.525,0.0,0.0,0.9988109393579072,1,Dormant/Low Engagement,-1.8283638159708733,0.4731672284567872,False,False,False,0,0.17831201787721285,0,11.6
C10067,1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,1.0,0.0,1.0,0.083333,4.0,61.0,1850.0,3688.045998,3266.996777,0.083333,12.0,1.0,1.9159807155517383,1.0,0.9994705184683158,0.4595530978051498,0.0,3,Transactors,0.432805973728941,1.223271070712754,False,False,False,0,0.02734225199606033,0,49.87
C10068,1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0.0,11.0,1800.0,777.451648,897.905444,0.0,12.0,0.976699992777778,0.441969946304054,0.2290722222222222,0.2107758933539786,0.0,0.7868047322962282,2,Revolvers,-0.3259836279169562,-0.4986900916013307,False,False,False,0,0.16381864175534588,0,15.27
C10069,809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,0.0,0.125,1.0,0.0,1500.0,146.074769,179.412493,0.0,8.0,0.5398983033333333,0.1801507399440503,0.0,0.0,0.9989004024184074,0.0,2,Revolvers,0.1346761950493429,-1.7850811887449232,False,False,False,0,0.1909980752820633,0,8.38
C10070,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6.0,0.0,2500.0,540.022225,352.883804,0.0,12.0,0.6305220116,0.3423701916061031,0.0,0.0,0.9973952129802414,0.0,2,Revolvers,0.421508935579067,-1.6717633983206746,False,False,False,0,0.19944933767058803,0,6.24
C10071,3990.523579,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0.0,8.0,6000.0,6876.836205,1001.607366,0.083333,12.0,0.6650872631666667,1.7228599728635097,0.0439166666666666,0.2756143667296786,0.0,0.7206049149338374,2,Revolvers,1.1126356236796198,0.5635102993902324,False,False,False,0,0.11239261649253174,0,28.31
C10072,1699.435486,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,4.0,1700.0,1623.816348,923.505868,0.0,12.0,0.9996679329411764,0.95494146138985,0.8021705882352942,0.0,0.0,0.9992672328514168,3,Transactors,-0.4234620252120114,0.7817133335015932,False,False,False,0,0.12354171102599831,0,25.48
C10073,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4.0,11.0,6250.0,1288.214909,2180.881868,0.0,12.0,0.8780293958400001,0.234703796716708,0.067056,0.9976196143775292,0.5981824517302969,0.0,2,Revolvers,1.581756736629326,-0.6742988066738713,True,False,False,1,0.11145764889936272,0,28.55
C10074,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27.0,33.0,7000.0,28232.69446,1107.030803,0.454545,12.0,0.4272031694285714,9.43788362342513,0.6461814285714287,0.6319649357796947,0.857820158825794,0.367814034087267,0,Cash Advance Users,10.034412694142716,4.35647841893117,False,True,True,1,-0.1043687490084404,1,83.26
C10075,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3.0,0.0,7000.0,910.457985,140.983193,0.25,8.0,0.0937161442857142,1.3857533582173662,0.0,0.0,0.9993221946879705,0.0,2,Revolvers,0.415835118535776,-1.03165006105639,False,False,False,0,0.17191069099983947,0,13.22
C10077,1808.972419,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0.0,8.0,2250.0,889.017418,622.757696,0.0,10.0,0.8039877417777778,0.4911773288187327,0.3172888888888889,0.2948943908238914,0.0,0.7037068121415583,2,Revolvers,-0.4542075619100139,-0.1131477332259114,False,False,False,0,0.17761342620652742,0,11.77
