CUST_ID,SEGMENT_NAME,FRAUD_RISK_SCORE,FRAUD_TIER,CASH_DOMINANT_FLAG,OVERLIMIT_FLAG,ANOMALY_FLAG
C10286,Dormant/Low Engagement,15.52,LOW_RISK,0,0,0
C10287,Revolvers,12.52,LOW_RISK,0,0,0
C10288,Dormant/Low Engagement,5.95,LOW_RISK,0,0,0
C10289,Dormant/Low Engagement,29.56,LOW_RISK,0,0,0
C10290,Dormant/Low Engagement,24.78,LOW_RISK,0,0,0
C10291,Cash Advance Users,48.25,LOW_RISK,0,0,0
C10292,Revolvers,24.84,LOW_RISK,0,1,0
C10293,Dormant/Low Engagement,11.43,LOW_RISK,0,0,0
C10294,Transactors,33.79,LOW_RISK,0,1,0
C10295,Revolvers,16.16,LOW_RISK,1,0,0
C10296,Cash Advance Users,34.27,LOW_RISK,1,0,0
C10297,Revolvers,5.6,LOW_RISK,1,0,0
C10298,Revolvers,17.36,LOW_RISK,1,0,0
C10299,Dormant/Low Engagement,6.11,LOW_RISK,0,0,0
C10300,Revolvers,15.41,HIGH_RISK,1,1,0
C10301,Dormant/Low Engagement,13.39,LOW_RISK,0,0,0
C10302,Cash Advance Users,27.93,HIGH_RISK,1,1,0
C10303,Transactors,19.77,LOW_RISK,0,0,0
C10304,Revolvers,14.94,HIGH_RISK,1,1,0
C10305,Dormant/Low Engagement,2.7,LOW_RISK,0,0,0
C10306,Transactors,41.44,LOW_RISK,0,0,0
C10307,Revolvers,17.18,LOW_RISK,1,0,0
C10308,Cash Advance Users,23.36,LOW_RISK,1,0,0
C10309,Revolvers,12.57,LOW_RISK,0,0,0
C10310,Transactors,34.88,LOW_RISK,0,0,0
C10311,Revolvers,18.32,HIGH_RISK,1,1,0
C10312,Transactors,32.07,LOW_RISK,0,0,0
C10313,Cash Advance Users,24.99,LOW_RISK,1,0,0
C10314,Dormant/Low Engagement,9.24,LOW_RISK,0,0,0
C10315,Cash Advance Users,41.36,LOW_RISK,1,0,0
C10316,Dormant/Low Engagement,12.17,LOW_RISK,0,0,0
C10317,Dormant/Low Engagement,5.49,LOW_RISK,0,0,0
C10318,Dormant/Low Engagement,6.12,LOW_RISK,0,0,0
C10319,Revolvers,8.03,LOW_RISK,1,0,0
C10320,Dormant/Low Engagement,7.03,LOW_RISK,0,0,0
C10321,Dormant/Low Engagement,22.1,LOW_RISK,0,0,0
C10322,Transactors,33.82,LOW_RISK,0,0,0
C10323,Transactors,30.24,LOW_RISK,0,0,0
C10324,Revolvers,10.52,HIGH_RISK,1,1,0
C10325,Revolvers,12.33,LOW_RISK,1,0,0
C10326,Revolvers,12.13,LOW_RISK,1,0,0
C10327,Cash Advance Users,20.03,LOW_RISK,1,0,0
C10328,Dormant/Low Engagement,8.93,LOW_RISK,0,0,0
C10329,Dormant/Low Engagement,1.57,LOW_RISK,0,0,0
C10330,Dormant/Low Engagement,44.15,LOW_RISK,0,0,0
C10331,Revolvers,30.93,LOW_RISK,1,0,0
C10332,Cash Advance Users,46.35,LOW_RISK,1,0,0
C10333,Cash Advance Users,18.73,HIGH_RISK,1,0,0
C10334,Dormant/Low Engagement,11.35,LOW_RISK,0,0,0
C10335,Revolvers,9.86,LOW_RISK,1,0,0
C10336,Dormant/Low Engagement,5.21,LOW_RISK,0,0,0
C10337,Cash Advance Users,66.92,MEDIUM_RISK,0,0,1
C10338,Revolvers,20.33,LOW_RISK,0,1,0
C10339,Revolvers,11.07,HIGH_RISK,1,0,0
C10340,Dormant/Low Engagement,18.09,LOW_RISK,0,0,0
C10341,Revolvers,7.17,HIGH_RISK,1,0,0
C10342,Dormant/Low Engagement,6.15,LOW_RISK,0,0,0
C10343,Transactors,19.98,LOW_RISK,0,0,0
C10344,Dormant/Low Engagement,29.57,LOW_RISK,0,0,0
C10345,Revolvers,15.54,HIGH_RISK,1,1,0
C10346,Cash Advance Users,46.61,LOW_RISK,1,0,0
C10347,Dormant/Low Engagement,5.06,LOW_RISK,0,0,0
C10348,Transactors,25.99,LOW_RISK,0,0,0
C10349,Dormant/Low Engagement,1.54,LOW_RISK,0,0,0
C10350,Dormant/Low Engagement,39.47,LOW_RISK,0,0,0
C10351,Revolvers,12.36,LOW_RISK,1,0,0
C10352,Cash Advance Users,77.32,HIGH_RISK,1,0,1
C10353,Revolvers,13.95,LOW_RISK,0,0,0
C10354,Dormant/Low Engagement,3.34,LOW_RISK,0,0,0
C10355,Dormant/Low Engagement,17.76,LOW_RISK,0,0,0
C10356,Dormant/Low Engagement,3.63,LOW_RISK,0,0,0
C10357,Dormant/Low Engagement,11.39,LOW_RISK,0,0,0
C10358,Dormant/Low Engagement,8.23,LOW_RISK,0,0,0
C10359,Cash Advance Users,50.09,MEDIUM_RISK,1,0,0
C10360,Dormant/Low Engagement,2.92,LOW_RISK,0,0,0
C10361,Revolvers,18.06,LOW_RISK,1,0,0
C10362,Transactors,31.93,LOW_RISK,0,0,0
C10364,Cash Advance Users,53.15,HIGH_RISK,1,1,0
C10365,Dormant/Low Engagement,8.02,LOW_RISK,0,0,0
C10366,Dormant/Low Engagement,9.25,LOW_RISK,0,0,0
C10367,Transactors,20.75,LOW_RISK,0,0,0
C10368,Dormant/Low Engagement,28.27,LOW_RISK,0,0,0
C10369,Cash Advance Users,39.09,HIGH_RISK,1,0,0
C10370,Revolvers,15.36,LOW_RISK,1,0,0
C10371,Revolvers,7.56,HIGH_RISK,1,0,0
C10372,Dormant/Low Engagement,7.78,LOW_RISK,0,0,0
C10373,Revolvers,7.53,LOW_RISK,1,0,0
C10374,Dormant/Low Engagement,14.04,LOW_RISK,0,0,0
C10375,Cash Advance Users,76.53,HIGH_RISK,0,0,1
C10376,Revolvers,16.27,LOW_RISK,0,0,0
C10377,Transactors,32.42,LOW_RISK,0,1,0
C10378,Dormant/Low Engagement,10.11,LOW_RISK,0,0,0
C10379,Revolvers,34.04,LOW_RISK,0,1,0
C10380,Cash Advance Users,28.86,HIGH_RISK,1,1,0
C10381,Cash Advance Users,38.93,LOW_RISK,1,0,0
C10382,Transactors,38.92,LOW_RISK,0,0,0
C10383,Cash Advance Users,47.54,HIGH_RISK,0,1,0
C10384,Revolvers,13.69,LOW_RISK,1,0,0
C10385,Transactors,30.23,LOW_RISK,0,0,0
C10386,Transactors,25.32,LOW_RISK,0,1,0
C10387,Dormant/Low Engagement,9.91,LOW_RISK,0,0,0
C10388,Cash Advance Users,60.73,MEDIUM_RISK,0,0,1
C10389,Transactors,16.43,LOW_RISK,0,0,0
C10390,Dormant/Low Engagement,4.46,LOW_RISK,0,0,0
C10391,Revolvers,9.2,HIGH_RISK,1,1,0
C10392,Cash Advance Users,54.5,HIGH_RISK,1,0,0
C10393,Revolvers,7.62,LOW_RISK,1,0,0
C10395,Revolvers,15.8,LOW_RISK,1,0,0
C10396,Dormant/Low Engagement,10.64,LOW_RISK,0,0,0
C10397,Transactors,36.94,LOW_RISK,0,0,0
C10398,Revolvers,20.15,LOW_RISK,1,0,0
C10399,Revolvers,11.81,LOW_RISK,0,0,0
C10400,Cash Advance Users,29.18,HIGH_RISK,1,0,0
C10402,Dormant/Low Engagement,2.11,LOW_RISK,0,0,0
C10403,Dormant/Low Engagement,5.06,LOW_RISK,0,0,0
C10404,Dormant/Low Engagement,4.68,LOW_RISK,0,0,0
C10405,Dormant/Low Engagement,11.46,LOW_RISK,0,0,0
C10406,Transactors,27.5,LOW_RISK,0,0,0
C10407,Transactors,82.11,HIGH_RISK,0,1,1
C10408,Dormant/Low Engagement,9.56,LOW_RISK,0,0,0
C10409,Revolvers,17.65,LOW_RISK,1,0,0
C10410,Dormant/Low Engagement,22.9,LOW_RISK,0,0,0
C10411,Transactors,32.92,LOW_RISK,0,0,0
C10412,Cash Advance Users,23.82,LOW_RISK,1,0,0
C10413,Revolvers,17.91,LOW_RISK,0,0,0
C10414,Dormant/Low Engagement,8.77,LOW_RISK,0,0,0
C10415,Revolvers,20.71,LOW_RISK,0,1,0
C10416,Cash Advance Users,35.54,LOW_RISK,1,0,0
C10417,Dormant/Low Engagement,19.29,LOW_RISK,0,0,0
C10419,Cash Advance Users,22.21,MEDIUM_RISK,1,0,0
C10420,Dormant/Low Engagement,25.6,LOW_RISK,0,0,0
C10421,Dormant/Low Engagement,4.37,LOW_RISK,0,0,0
C10422,Revolvers,6.83,HIGH_RISK,1,0,0
C10423,Revolvers,17.08,LOW_RISK,1,0,0
C10424,Dormant/Low Engagement,35.46,LOW_RISK,0,0,0
C10425,Revolvers,10.23,LOW_RISK,1,0,0
C10426,Dormant/Low Engagement,12.08,LOW_RISK,0,0,0
C10427,Dormant/Low Engagement,4.04,LOW_RISK,0,0,0
C10428,Cash Advance Users,21.78,LOW_RISK,1,0,0
C10429,Dormant/Low Engagement,7.44,LOW_RISK,0,0,0
C10430,Transactors,28.48,LOW_RISK,0,0,0
C10431,Cash Advance Users,42.72,LOW_RISK,0,0,0
C10432,Transactors,36.92,LOW_RISK,0,0,0
C10433,Dormant/Low Engagement,7.49,LOW_RISK,0,0,0
C10434,Revolvers,37.22,LOW_RISK,1,0,0
C10435,Transactors,20.75,LOW_RISK,0,0,0
C10436,Revolvers,9.37,HIGH_RISK,1,1,0
C10437,Revolvers,15.31,MEDIUM_RISK,1,0,0
C10438,Transactors,49.32,LOW_RISK,0,0,0
C10439,Cash Advance Users,41.84,LOW_RISK,1,0,0
C10441,Revolvers,25.14,HIGH_RISK,1,0,0
C10442,Revolvers,17.57,LOW_RISK,1,0,0
C10443,Revolvers,7.44,HIGH_RISK,1,1,0
C10444,Cash Advance Users,27.7,LOW_RISK,1,0,0
C10445,Cash Advance Users,30.06,HIGH_RISK,1,0,0
C10446,Cash Advance Users,25.96,LOW_RISK,1,0,0
C10447,Cash Advance Users,47.34,LOW_RISK,1,0,0
C10448,Dormant/Low Engagement,10.56,LOW_RISK,0,0,0
C10449,Revolvers,15.75,LOW_RISK,1,0,0
C10450,Revolvers,10.23,LOW_RISK,1,0,0
C10451,Cash Advance Users,38.57,HIGH_RISK,1,0,0
C10452,Revolvers,28.69,LOW_RISK,0,1,0
C10453,Dormant/Low Engagement,29.43,LOW_RISK,0,0,0
C10454,Revolvers,6.83,LOW_RISK,1,0,0
C10455,Revolvers,22.11,LOW_RISK,1,0,0
C10456,Dormant/Low Engagement,3.85,LOW_RISK,0,0,0
C10457,Cash Advance Users,47.71,LOW_RISK,1,0,0
C10458,Revolvers,8.55,LOW_RISK,1,0,0
C10459,Dormant/Low Engagement,6.35,LOW_RISK,0,0,0
C10460,Transactors,26.22,LOW_RISK,0,0,0
C10461,Cash Advance Users,37.58,LOW_RISK,0,0,0
C10462,Transactors,18.84,LOW_RISK,0,0,0
C10463,Dormant/Low Engagement,22.93,LOW_RISK,0,0,0
C10466,Revolvers,7.6,HIGH_RISK,1,0,0
